Continent,Country,Population,Age 0-14,Age 15-64,Age 65 and more,Total Median Age,Male Median Age,Female Median Age,Population Growth Rate,Birth Rate,Death Rate,Total Life Expectancy,Male Life Expectancy,Female Life Expectancy,Total Sex Ratio,GDP 2021 (bn),GDP 2020 (bn),GDP 2019 (bn),GDP Growth Rate 2021 (%),GDP Growth Rate 2020 (%),GDP Growth Rate 2019 (%),GDP per capita 2021 (bn),GDP per capita 2020 (bn),GDP per capita 2019 (bn),Inflation Rate 2021 (%),Inflation Rate 2020 (%),Inflation Rate 2019 (%),Unemployment Rate 2021 (%),Unemployment Rate 2020 (%),Unemployment Rate 2019 (%)
Africa,"Cote d'Ivoire,","29,344,847 (2023 est.)","36.65% (male 5,398,616/female 5,354,973)","60.4% (male 8,935,673/female 8,789,040)","2.95% (2023 est.) (male 389,248/female 477,297)",20.3 years,20.3 years,20.3 years (2020 est.),2.16% (2023 est.),"27.92 births/1,000 population (2023 est.)","7.45 deaths/1,000 population (2023 est.)",62.71 years,60.51 years,64.97 years (2023 est.),0.97 male(s)/female (2023 est.),146.323 billion,136.702 billion,134.049 billion,7.04,1.98,6.23,"5,300","5,100","5,100",4.09,2.43,-1.11,"[('3.47', '2021'), ('3.49', '2020'), ('3.32', '2019')]",3.49,3.32
Africa,"Cabo Verde,","603,901 (2023 est.)","26.68% (male 80,974/female 80,143)","67.18% (male 198,503/female 207,205)","6.14% (2023 est.) (male 14,099/female 22,977)",26.8 years,25.9 years,27.6 years (2020 est.),1.19% (2023 est.),"18.19 births/1,000 population (2023 est.)","5.77 deaths/1,000 population (2023 est.)",74.02 years,71.69 years,76.41 years (2023 est.),0.95 male(s)/female (2023 est.),3.595 billion,3.361 billion,3.944 billion,6.95,-14.78,5.67,"6,100","5,800","6,800",1.86,0.61,1.11,"[('15.42', '2021'), ('15.31', '2020'), ('12.22', '2019')]",15.31,12.22
Africa,"Cameroon,","30,135,732 (2023 est.)","41.69% (male 6,337,141/female 6,226,100)","55.12% (male 8,231,473/female 8,379,699)","3.19% (2023 est.) (male 447,656/female 513,663)",18.5 years,18.2 years,18.8 years (2020 est.),2.73% (2023 est.),"35.13 births/1,000 population (2023 est.)","7.54 deaths/1,000 population (2023 est.)",63.74 years,61.92 years,65.61 years (2023 est.),0.99 male(s)/female (2023 est.),100.648 billion,97.103 billion,96.852 billion,3.65,0.26,3.48,"3,700","3,700","3,800",2.27,2.44,2.45,"[('3.87', '2021'), ('3.84', '2020'), ('3.64', '2019')]",3.84,3.64
Africa,"Chad,","18,523,165 (2023 est.)","46.24% (male 4,334,264/female 4,231,658)","51.27% (male 4,646,510/female 4,849,878)","2.49% (2023 est.) (male 197,450/female 263,405)",16.1 years,15.6 years,16.5 years (2020 est.),3.05% (2023 est.),"39.85 births/1,000 population (2023 est.)","9.21 deaths/1,000 population (2023 est.)",59.57 years,57.71 years,61.51 years (2023 est.),0.98 male(s)/female (2023 est.),24.49 billion,24.787 billion,25.19 billion,-1.2,-1.6,3.25,"1,400","1,500","1,600",-0.77,4.46,-0.97,"[('1.88', '2021'), ('1.74', '2020'), ('1.12', '2019')]",1.74,1.12
Africa,"Burundi,","13,162,952 (2023 est.)","42.67% (male 2,830,996/female 2,786,154)","54.03% (male 3,523,380/female 3,588,511)","3.3% (2023 est.) (male 187,176/female 246,735)",17.7 years,17.4 years,18 years (2020 est.),3.59% (2023 est.),"34.87 births/1,000 population (2023 est.)","5.85 deaths/1,000 population (2023 est.)",67.77 years,65.65 years,69.95 years (2023 est.),0.99 male(s)/female (2023 est.),8.849 billion,8.693 billion,8.665 billion,1.8,0.33,1.81,700,700,700,8.4,7.32,-0.69,"[('1.79', '2021'), ('1.71', '2020'), ('1.59', '2019')]",1.71,1.59
Africa,"Burkina Faso,","22,489,126 (2023 est.)","42.19% (male 4,813,760/female 4,674,649)","54.62% (male 5,899,774/female 6,383,134)","3.19% (2023 est.) (male 305,233/female 412,576)",17.9 years,17 years,18.7 years (2020 est.),2.46% (2023 est.),"32.71 births/1,000 population (2023 est.)","7.5 deaths/1,000 population (2023 est.)",63.82 years,61.99 years,65.72 years (2023 est.),0.96 male(s)/female (2023 est.),48.175 billion,45.063 billion,44.209 billion,6.91,1.93,5.69,"2,200","2,100","2,100",3.65,1.88,-3.23,"[('4.76', '2021'), ('4.89', '2020'), ('4.69', '2019')]",4.89,4.69
Africa,"Congo, Democratic Republic of the,","111,859,928 (2023 est.)","45.99% (male 25,902,046/female 25,543,395)","51.52% (male 28,798,920/female 28,835,212)","2.49% (2023 est.) (male 1,211,966/female 1,568,389)",16.7 years,16.5 years,16.8 years (2020 est.),3.13% (2023 est.),"39.64 births/1,000 population (2023 est.)","7.74 deaths/1,000 population (2023 est.)",62.23 years,60.39 years,64.13 years (2023 est.),1 male(s)/female (2023 est.),102.956 billion,96.945 billion,95.292 billion,6.2,1.74,4.38,"1,100","1,000","1,100",,,,"[('5.43', '2021'), ('5.27', '2020'), ('4.45', '2019')]",5.27,4.45
Africa,"Central African Republic,","5,552,228 (2023 est.)","38.84% (male 1,104,007/female 1,052,411)","57.71% (male 1,577,102/female 1,627,133)","3.45% (2023 est.) (male 83,431/female 108,144)",20 years,19.7 years,20.3 years (2020 est.),1.77% (2023 est.),"32.37 births/1,000 population (2023 est.)","11.51 deaths/1,000 population (2023 est.)",55.96 years,54.64 years,57.31 years (2023 est.),0.99 male(s)/female (2023 est.),,,4.483 billion,0.9,0.9,3.1,800,800,900,4.26,1.71,2.69,"[('6.57', '2021'), ('6.36', '2020'), ('5.62', '2019')]",6.36,5.62
Africa,"Benin,","14,219,908 (2023 est.)","45.37% (male 3,256,439/female 3,194,700)","52.18% (male 3,595,897/female 3,823,786)","2.45% (2023 est.) (male 159,363/female 189,723)",17 years,16.4 years,17.6 years (2020 est.),3.31% (2023 est.),"40.72 births/1,000 population (2023 est.)","7.82 deaths/1,000 population (2023 est.)",62.6 years,60.75 years,64.55 years (2023 est.),0.97 male(s)/female (2023 est.),43.17 billion,40.287 billion,38.794 billion,7.16,3.85,6.87,"3,300","3,200","3,200",1.73,3.02,-0.71,"[('1.57', '2021'), ('1.58', '2020'), ('1.47', '2019')]",1.58,1.47
Africa,"Botswana,","2,417,596 (2023 est.)","29.17% (male 355,951/female 349,283)","64.88% (male 745,327/female 823,267)","5.95% (2023 est.) (male 57,876/female 85,892)",25.7 years,24.5 years,26.7 years (2020 est.),1.37% (2023 est.),"19.95 births/1,000 population (2023 est.)","8.98 deaths/1,000 population (2023 est.)",66.04 years,63.98 years,68.16 years (2023 est.),0.92 male(s)/female (2023 est.),38.415 billion,34.493 billion,37.79 billion,11.37,-8.73,3.03,"14,800","13,500","15,100",7.24,1.89,2.77,"[('24.72', '2021'), ('24.93', '2020'), ('22.61', '2019')]",24.93,22.61
Africa,"Zambia,","20,216,029 (2023 est.)","42.49% (male 4,334,425/female 4,255,464)","54.77% (male 5,529,526/female 5,541,857)","2.74% (2023 est.) (male 250,984/female 303,773)",16.9 years,16.7 years,17 years (2020 est.),2.86% (2023 est.),"34.48 births/1,000 population (2023 est.)","6.02 deaths/1,000 population (2023 est.)",66.6 years,64.88 years,68.36 years (2023 est.),1 male(s)/female (2023 est.),63.03 billion,60.259 billion,61.986 billion,4.6,-2.79,1.44,"3,200","3,200","3,400",22.02,15.73,9.15,"[('13.03', '2021'), ('12.85', '2020'), ('12.52', '2019')]",12.85,12.52
